start_station_name,start_station_id
St Nicholas Ave & W 126 St,7756.1
Dock St & Front St,4903.09
Hart St & Wyckoff Ave,4971.01
6 Ave & 12 St,3803.05
E 74 St & 1 Ave,6953.08
Southern Blvd & E 180 St,8325.08
W 42 St & Dyer Ave,6644.07
Convent Ave & W 135 St,7860.08
Orchard St & Grand St,5343.11
3 Ave & E 109 St,7504.19
21 St & 36 Ave,6729.02
38 St & 30 Ave,6850.01
50 Ave & 65 St,5956.05
52 St & 1 Ave,3253.01
Astoria Park S & Shore Blvd,7159.08
St Nicholas Ave & W 157 St,8085.09
Jerome Ave & E Mosholu Pkwy S,8795.01
Onderdonk Ave & Gates Ave,4994.1
Shore Blvd & Astoria Park,7271.01
60 Pl & Linden St,5097.02
46 St & 7 Ave,3117.05
Grand Concourse & E 196 St,8635.08
E 138 St & Cypress Ave,7669.1
92 St & 35 Ave,6509.07
Rugby Rd & Beverley Rd,3113.06
St Johns Pl & Kingston Ave,3943.03
Eastern Pkwy & Rochester Ave,3853.02
Frost St & Debevoise Ave,5433.04
N 11 St & Kent Ave,5489.04
Eastern Pkwy & Brooklyn Ave,3871.02
College Ave & E 169 St,8141.05
College Ave & E 170 St,8175.06
Clay Ave & Claremont Pkwy,8225.05
94 St & 57 Ave,5920.03
Broadway & W 142 St,7981.16
Jerome Ave & E 198 St,8720.02
60 Ave & Junction Blvd,5878.02
82 St & 30 Ave,6748.04
31 Ave & 86 St,6709.05
6 Ave & 21 St,3628.11
43 St & Broadway,6670.03
Jefferson St & Cypress Ave,5082.08
Willoughby Ave & Hall St,4611.03
Henry St & Atlantic Ave,4531.05
Corona Ave & 111 St,6053.01
3 Ave & E 174 St,8241.07
34 Ave & Junction Blvd,6585.11
W 148 St & Amsterdam Ave,8033.09
E 149 St & Eagle Ave,7793.02
Broadway & E 19 St,6098.12
Macombs Pl & W 152 St,8029.28
39 St & 50 Ave,6025.08
17 St & 5 Ave,3699.07
3 Ave & E 170 St,8137.06
23 Ave & 83 St,6921.04
5 Ave & E 103 St,7511.19
W 238 St & Tibbett Ave,8897.05
37 Ave & 35 St,6529.02
4 Ave & 26 St,3596.04
34 Ave & 113 St,6642.08
Fort Washington Ave & W 190 St,8496.01
Albemarle Rd & McDonald Ave,3166.03
Central Park North & Adam Clayton Powell Blvd,7617.07
Lexington Ave & E 36 St,6313.1
E Houston St & Columbia St,5436.11
